Indicator type,Indicator,Description
IPv4,148.66.156.78,
IPv4,193.32.162.74,
IPv4,101.36.122.196,
IPv4,218.92.0.225,
IPv4,103.165.156.230,
IPv4,218.92.0.225,
IPv4,218.92.0.219,
IPv4,216.9.225.74,
IPv4,218.92.0.153,
IPv4,139.59.16.54,
IPv4,218.92.0.237,
IPv4,41.59.86.232,
IPv4,14.225.204.199,
IPv4,24.199.102.230,
IPv4,186.117.149.128,
IPv4,183.134.75.190,
IPv4,103.182.132.154,
IPv4,106.12.133.92,
IPv4,218.92.0.217,
IPv4,218.92.0.231,
IPv4,222.187.215.194,
IPv4,52.230.19.196,
IPv4,222.89.138.40,
IPv4,74.82.195.39,
IPv4,174.138.12.223,
IPv4,211.20.14.156,
IPv4,49.49.224.127,
IPv4,45.148.10.47,
IPv4,41.82.208.182,
IPv4,142.44.162.161,
IPv4,92.118.39.75,
IPv4,134.17.16.19,
IPv4,154.221.28.214,
IPv4,174.138.5.52,
IPv4,118.41.246.179,
IPv4,103.176.20.115,
IPv4,174.138.5.52,
IPv4,59.36.254.224,
IPv4,124.198.59.254,
IPv4,23.176.184.113,
IPv4,125.124.178.223,
IPv4,42.194.187.43,
IPv4,203.145.34.140,
IPv4,193.32.162.137,
IPv4,218.92.0.216,
IPv4,35.244.25.124,
IPv4,143.198.96.172,
IPv4,46.253.45.10,
IPv4,68.183.6.206,
IPv4,92.118.39.76,
IPv4,103.181.143.73,
IPv4,187.49.152.10,
IPv4,218.92.0.231,
IPv4,218.92.0.219,
IPv4,92.118.39.76,
IPv4,218.92.0.220,
IPv4,92.118.39.76,
IPv4,47.237.103.200,
IPv4,47.237.103.200,
IPv4,47.237.103.200,
IPv4,47.237.103.200,
IPv4,47.237.103.200,
IPv4,218.92.0.227,
IPv4,193.32.162.73,
IPv4,218.92.0.227,
IPv4,47.237.103.200,
IPv4,47.237.103.200,
IPv4,218.92.0.236,
IPv4,68.183.10.86,
IPv4,218.92.0.134,
