Indicator type,Indicator,Description
domain,3dconfirrnation.com,
domain,3djd83hf4.geek,
domain,3find-lcloud.com,
domain,3inf.site,
domain,3jxc4mewe.top,
domain,3nayah-trf.com,
domain,3p4s.com,
domain,3proxy.ru,
domain,3rabapp.com,
domain,3weibo.com,
domain,3yfr6hh9dd3.com,
domain,40031.co,
domain,41260-coinbase.com,
domain,4231baidu.com,
domain,427883-coinbase.com,
domain,43017-coinbase.com,
domain,44yd2dxmm5xuo7dsivwkf2fqyqmfsqkt5nkxdlgwpnbr57sca56j74yd.onion,
domain,456888.mom,
domain,465jsdlkd.top,
domain,47562-coinbase.com,
domain,4849831.com,
domain,4849860.com,
domain,4849865.com,
domain,4849871.com,
domain,4849873.com,
domain,4849892.com,
domain,4849a.com,
domain,4849b.com,
domain,4849c.com,
domain,4849d.com,
domain,4849e.com,
domain,4849f.com,
domain,4849g.com,
domain,4849h.com,
domain,4849i.com,
domain,4849k.com,
domain,4849l.com,
domain,4849m.com,
domain,4849n.com,
domain,4849o.com,
domain,4849p.com,
domain,4849q.com,
domain,4849r.com,
domain,4849t.com,
domain,4849u.com,
domain,4849v.com,
domain,4849w.com,
domain,4849x.com,
domain,4849y.com,
domain,4849z.com,
domain,4875425h-32c9-39d0-83b6-1b93765276ca.co,
domain,494494.com,
domain,495a.cc,
domain,495b.cc,
domain,495c.cc,
domain,495d.cc,
domain,495e.cc,
domain,495f.cc,
domain,495g.cc,
domain,495h.cc,
domain,495i.cc,
domain,495k.cc,
domain,495l.cc,
domain,495m.cc,
domain,495n.cc,
domain,495o.cc,
domain,495p.cc,
domain,495r.cc,
domain,495s.cc,
domain,495t.cc,
domain,495u.cc,
domain,495v.cc,
domain,495w.cc,
domain,495wap.com,
domain,495x.cc,
domain,495z.cc,
domain,4bs6hkaysxa.com,
domain,4devsolutions.com,
domain,4inahjbeyrmqzhvqbsgtcmoibz47joueo3f44rgidig6xdzmljue7uyd.onion,
domain,4m8mdkx76o.indy,
domain,4sessionmoon.com,
domain,4yw2twoy438df9qt.online,
domain,50195-coinbase.com,
domain,505hbk.com,
domain,5247-coinbase.com,
domain,525baidu.com,
domain,5443654.site,
domain,5443654.world,
domain,54765-coinbase.com,
domain,57197-coinbase.com,
domain,58176-coinbase.com,
domain,58297-coinbase.com,
domain,590lotto.com,
domain,59162.com,
domain,5kvv27efetbcqgem4tl7jsolvr3jxkrbmn23rcjzl7kvqycxuao3t4ad.onion,
domain,5lcloud.com,
domain,5pjj5.top,
domain,5poleanalhy.com,
domain,600baidu.com,
domain,601baidu.com,
domain,603baidu.com,
domain,605baidu.com,
domain,606baidu.com,
domain,607baidu.com,
domain,608baidu.com,
domain,609baidu.com,
domain,61250-coinbase.com,
domain,61835-coinbase.com,
domain,61851-coinbase.com,
domain,61937-coinbase.com,
domain,65001.com,
domain,66tye9kcnxi.com,
domain,69set4.fun,
domain,6c48ax07dy25hvu0hub.online,
domain,6treesmangle.com,
domain,6x4sagr4k84brc.com,
domain,7-zip.tw,
domain,711ggr.com,
domain,71413.com,
domain,71925-coinbase.com,
domain,72282.com,
domain,72957-coinbase.com,
domain,72985-coinbase.com,
domain,73809.com,
domain,74651-coinbase.com,
domain,754668948-coinbase.com,
domain,756-ads-info.site,
domain,756-ads-info.top,
domain,756-ads-info.xyz,
domain,76153-coinbase.com,
domain,76153-coinbse.com,
domain,76159869-coinbase.com,
domain,7motionmansa.com,
domain,7support-lcloud.org,
domain,7zip-lab.top,
domain,7zip2024.info,
domain,81758-coinbase.com,
domain,81758-coinbse.com,
domain,81920-coinbase.com,
domain,81920-coinbse.com,
domain,81926-coinbase.com,
domain,81926-coinbse.com,
domain,81958-coinbase.com,
domain,81958-coinbse.com,
domain,82604433.com,
domain,826298-coinbase.com,
domain,826298-coinbse.com,
domain,83216-coinbase.com,
domain,83216-coinbse.com,
domain,837613-coinbase.com,
domain,837613-coinbse.com,
domain,83956-coinbase.com,
domain,83956-coinbse.com,
domain,85251.com,
domain,85hsyad6i2ngzp.com,
domain,87157-coinbase.com,
domain,87312-coinbase.com,
domain,875jhrfks.top,
domain,87bi9.com,
domain,87iavv.com,
domain,889933fry.com,
domain,88mansession.com,
domain,89304-coinbase.com,
domain,89375-coinbase.com,
domain,8boomandool.com,
domain,8egub9e7s6cz7n.com,
domain,8go010.com,
domain,8jtuazcr548ajj.com,
domain,8kk68biiitj.com,
domain,8mtcw.com,
domain,911s5.com,
domain,911s5.net,
domain,911s5.org,
domain,91723-gemini.com,
